,Run No,Loss,Reg. Loss,Repeat,N2(T),N(T),TS4_N2(T),N2(S),N(S),TS4_N2(S)
79,80,0.2820996446878069,0.011106424086090912,1,20.0,-9.085149612838695,-18.242842571058063,-3.4839295156882613,14.705213396436907,1.12140942052355
80,81,0.27916019330526604,0.011124357354995005,1,20.0,-9.397267642989348,-18.61198839193888,-3.294967067353679,14.461419886533541,0.9805011411545923
81,82,0.2803697850051454,0.0111216850375096,1,20.0,-9.147149105061438,-17.90759309716144,-3.4141470181214144,15.203885649007702,1.0573353557056024
82,83,0.2817251661771353,0.011404000343480008,1,20.0,-9.566530415879246,-17.538529268754623,-3.6548518385079136,16.565775037996787,1.0983154997414792
83,84,0.2790690717297953,0.011422537243160452,1,20.0,-9.773051528685109,-17.99356698183292,-3.3008590393279302,16.488398185194438,0.9793477239223136
84,85,0.2766884367419268,0.011637842364299397,1,20.0,-10.36922085766765,-18.114299070604375,-3.048299694660276,17.474164944003256,0.821069618860855
85,86,0.2757023337605278,0.011298399910760034,1,20.0,-9.975018867363122,-17.566041719505414,-3.156763737711292,16.25908866886066,0.8334864711197025
86,87,0.2711088393935953,0.011324345445621506,1,20.0,-10.52434611932047,-17.267414670451004,-2.8728307583794486,16.674547066324116,0.606934059254006
87,88,0.2731253810703157,0.011365424675169362,1,20.0,-10.473256220663178,-17.5558974972234,-3.1006728352653212,16.349946744610385,0.7127747532538748
88,89,0.27003587034605175,0.011528076670793827,1,20.0,-10.666623570464875,-18.596571580013226,-2.7837565258577337,16.558332447202368,0.5631759012247988
89,90,0.2636014367486655,0.011726544138075183,1,20.0,-11.42028541399953,-19.360522827337505,-2.3365515163341257,16.9950416729921,0.24686339778786248
90,91,0.26535017008573586,0.01136273266174335,1,20.0,-10.87731137068796,-18.73404258281758,-2.367637791530175,15.820560283160255,0.37684394226411855
91,92,0.2628962445557027,0.011725397175791675,1,20.0,-11.873413436714603,-18.64046191629614,-2.2595062030529274,17.388007883533525,0.19099361515283397
92,93,0.25511519511067854,0.012107978996640562,1,20.0,-13.236545602541185,-19.006896325863494,-1.6821857955186843,18.480069000796433,-0.24217725512355015
93,94,0.25894845892409124,0.012070267366859563,1,20.0,-12.903054218637308,-18.067702599493572,-1.8410923965423311,19.470023350761977,-0.13973163572220348
94,95,0.25177134820122127,0.011739010141961846,1,20.0,-12.775712124282226,-18.54985976379114,-1.6853573365297523,17.122564428878498,-0.30056719828948564
95,96,0.23915144089832585,0.011926438967269878,1,20.0,-13.978957757589512,-18.76764011038452,-1.0038861574644908,16.94676417131612,-0.8613856068646559
96,97,0.24468395861984968,0.012241531501395727,1,20.0,-13.840243940262141,-19.51217554155916,-0.9340553033244303,18.445721770506616,-0.7169924527220156
97,98,0.2377631665367193,0.012529010970557537,1,20.0,-14.894453315252075,-20.0,-0.5156388951919642,18.711513016853715,-1.0524605960474873
98,99,0.22114905667171145,0.013225769644239398,1,20.0,-17.079506913217877,-20.0,0.662957036401778,19.729995992118518,-1.8821579236982342
99,100,0.22839556076444315,0.012949860191760885,1,20.0,-16.60888657806122,-19.504269885395168,-0.010633586063919953,20.0,-1.575371101045051
0,1,0.8031453856056938,0.010574123980034598,2,-7.259821060984359,-7.4752926362524885,8.7922749269758,-17.16535980232623,-10.430071220450063,-12.321924233218642
1,2,0.8031453856083773,0.010634622488876136,2,-7.622812114033578,-7.4752926362524885,8.7922749269758,-17.16535980232623,-10.430071220450063,-12.321924233218642
2,3,0.8031453856083776,0.010636418085336703,2,-7.259821060984359,-7.849057268065113,8.7922749269758,-17.16535980232623,-10.430071220450063,-12.321924233218642
3,4,0.8031453854584345,0.010647392937759396,2,-7.259821060984359,-7.4752926362524885,9.23188867332459,-17.16535980232623,-10.430071220450063,-12.321924233218642
4,5,0.8031454433777794,0.010717168645053987,2,-7.259821060984359,-7.4752926362524885,8.7922749269758,-18.023627792442543,-10.430071220450063,-12.321924233218642
5,6,0.8337074280172375,0.010661041240205012,2,-7.259821060984359,-7.4752926362524885,8.7922749269758,-17.16535980232623,-10.951574781472567,-12.321924233218642
6,7,0.7805596449534032,0.010676806681978084,2,-7.259821060984359,-7.4752926362524885,8.7922749269758,-17.16535980232623,-10.430071220450063,-12.938020444879575
7,8,0.7635650705543411,0.010634469699474618,2,-7.380818078667431,-7.599880846856699,8.938812842425396,-17.451449132365,-9.908567659427556,-12.527289637105618
8,9,0.7262143586203113,0.010621183929109422,2,-7.441316587508968,-7.662174952158804,9.012081800150192,-17.594493797384388,-9.387064098405052,-12.629972339049104
9,10,0.7705390675905387,0.010546347389310798,2,-7.441316587508968,-7.662174952158804,9.012081800150195,-16.450136477229304,-10.08240217976839,-12.629972339049104
10,11,0.7593595053282587,0.010597074383686112,2,-7.501815096350503,-7.226116215044076,9.085350757874995,-17.06999669231331,-9.966512499541167,-12.732655040992594
11,12,0.744211571446997,0.010586353945083334,2,-7.098491704073594,-7.516822039787229,9.183042701508057,-17.038208988975676,-9.811992925904867,-12.869565310250579
12,13,0.7236061376122899,0.010650929108941113,2,-7.407706304819225,-7.530665174298807,9.313298626352143,-16.99582538452549,-9.605966827723137,-13.052112335927895
