,DRC-Expt-0,DRC-Expt-1,DRC-Expt-2,DRC-Expt-3,DRC-Expt-4,mean_DRC,min_DRC,max_DRC
ClCH2CH*+PtCu111(*)=TS54=CH2CH*+Cl*,-0.0011111461509096447,0.013850819300237559,0.00047046669063160985,-0.0009306176323980349,0.013070722182102694,0.005070048877932836,-0.0011111461509096447,0.013850819300237559
CH3CCl*+PtCu111(*)=TS55=CH3C*+Cl*,-0.0020371013950973922,0.0086269133878109,0.001411399929779177,-7.755144568056083e-05,-0.023340617716252288,-0.0030833914478880326,-0.023340617716252288,0.0086269133878109
ClCH2CCl*+PtCu111(*)=TS56=CH2CCl*+Cl*,0.001481528035411265,0.02452250427808265,0.0007057000004185017,0.0003877573705184566,0.009551683245341471,0.0073298345859544685,0.0003877573705184566,0.02452250427808265
ClCH2CCl*+PtCu111(*)=TS57=ClCH2C*+Cl*,-0.001388932724165969,0.022164286739507932,-0.0004704666195737836,-0.0013377629176300014,0.02535144000864834,0.008863712897357304,-0.001388932724165969,0.02535144000864834
ClCH2C*+PtCu111(*)=TS58=CH2C*+Cl*,-0.00037038202661727283,0.011343344797665703,0.0019406747879774009,-0.00019387864973031518,0.03569308547225591,0.009682568876310286,-0.00037038202661727283,0.03569308547225591
ClCHCH*+PtCu111(*)=TS59=CHCH*+Cl*,0.000925955031014269,0.028194158229593015,0.0005292750003138763,-0.0007949025846925969,-0.04179769856839891,-0.0025886425784340692,-0.04179769856839891,0.028194158229593015
CH2CCl*+PtCu111(*)=TS60=CH2C*+Cl*,0.0006481685288157709,0.013298577913081207,0.00011761669042235902,-0.0007173510679542098,-0.029229643712520265,-0.0031765263296310276,-0.029229643712520265,0.013298577913081207
ClCHCCl*+PtCu111(*)=TS61=CHCCl*+Cl*,0.0008333595065954942,0.01914934957330887,0.0,0.00017449080607463154,-0.0013645269189375409,0.00375853459340829,-0.0013645269189375409,0.01914934957330887
ClCHCCl*+PtCu111(*)=TS62=ClCHC*+Cl*,-0.0005555730754548224,0.027731470239198856,0.0008233166197830345,0.00019387872078814142,0.000574537627639651,0.005753526026390973,-0.0005555730754548224,0.027731470239198856
ClCHC*+PtCu111(*)=TS63=CHC*+Cl*,0.0012963369865737157,0.005537344897300216,0.0,0.00011632720404975436,0.0008618064414594765,0.0015623631058766323,0.0,0.005537344897300216
CHCCl*+PtCu111(*)=TS64=CHC*+Cl*,0.0008333595065954942,0.0207165199827266,-0.0016466334527395477,-0.0003489816121492631,-0.017451595130759973,0.0004205338587346619,-0.017451595130759973,0.0207165199827266
ClCCCl*+PtCu111(*)=TS65=ClCC*+Cl*,0.0,0.022298615591139267,0.00011761669042235902,0.0005428603329374045,-0.01041349963489662,0.0025091185959204825,-0.01041349963489662,0.022298615591139267
