,DRC-Expt-0,DRC-Expt-1,DRC-Expt-2,DRC-Expt-3,DRC-Expt-4,mean_DRC,min_DRC,max_DRC
ClCHC*+PtCu111(*)=TS43=ClCC*+H*,-0.0006018105825388259,0.0028443088466366465,0.00029406223688450587,-1.937911955157058e-05,-0.023447427721220986,-0.004186049267958046,-0.023447427721220986,0.0028443088466366465
CHCH*+PtCu111(*)=TS44=CHC*+H*,-0.001249979182412423,0.0007020958018207129,0.00011761077435649473,7.755241502783075e-05,0.0006084055883390435,5.113707942633176e-05,-0.001249979182412423,0.0007020958018207129
CHCCl*+PtCu111(*)=TS45=ClCC*+H*,0.0004166982714732001,0.002612665611148102,-0.0003822777482631204,0.00017447432721367533,0.013536741602541895,0.00327166041282275,-0.0003822777482631204,0.013536741602541895
CH3CH2Cl*+PtCu111(*)=TS46=CH3CH2*+Cl*,-0.00023151655278297963,-0.0025810577585216234,-0.0006762075664368528,-1.938400180262248e-05,0.024883646485797738,0.0042750961212507325,-0.0025810577585216234,0.024883646485797738
ClCH2CH2Cl*+PtCu111(*)=TS47=ClCH2CH2*+Cl*,0.3453639599870675,0.7248557681439229,1.0974261610732956,1.4228239135883864,1.78995418658134,1.0760847978748025,0.3453639599870675,1.78995418658134
CH3CHCl*+PtCu111(*)=TS48=CH3CH*+Cl*,0.00027779113174324944,0.0032992236259468477,-0.0008232312809145471,9.693157010831445e-05,0.003807714162951911,0.0013316858419671553,-0.0008232312809145471,0.003807714162951911
ClCH2CH2*+PtCu111(*)=TS49=CH2CH2*+Cl*,0.0006018430248703408,-0.001761061043246847,-0.00047040784971186857,0.0003295520866604485,0.018564086352070915,0.003452802514128598,-0.001761061043246847,0.018564086352070915
ClCH2CHCl*+PtCu111(*)=TS50=CH2CHCl*+Cl*,-0.0018517803992856648,0.00917182216375138,-0.0079092879198406,-0.009325119771451808,0.01059250234692123,0.00013562728401890733,-0.009325119771451808,0.01059250234692123
ClCH2CHCl*+PtCu111(*)=TS51=ClCH2CH*+Cl*,-1.87939433298307,0.0021124621804395035,0.008497389261917475,0.008510830240995068,-0.027828124809199238,-0.3776203552217834,-1.87939433298307,0.008510830240995068
CH2CHCl*+PtCu111(*)=TS52=CH2CH*+Cl*,0.0007870294086342258,-0.009573566805876165,0.004204572422659642,0.003470266326154525,-0.012820031384275746,-0.0027863460065407036,-0.012820031384275746,0.004204572422659642
ClCHCHCl*+PtCu111(*)=TS53=ClCHCH*+Cl*,0.0013425746712951792,-0.0047004554475769894,0.00014695913512599617,2.910021856793467e-05,-0.006895296967579109,-0.002015423678033398,-0.006895296967579109,0.0013425746712951792
ClCH2CH*+PtCu111(*)=TS54=CH2CH*+Cl*,-0.0010185042955251009,-0.0014991641236187505,-0.000940815557318743,4.84183049160741e-05,0.020322903948324256,0.003382567655355547,-0.0014991641236187505,0.020322903948324256
CH3CCl*+PtCu111(*)=TS55=CH3C*+Cl*,-0.0008796713350801486,-0.008133118519597228,0.0014995331136049479,-0.0002714068666621543,0.006354038677971307,-0.0002861249859526552,-0.008133118519597228,0.006354038677971307
ClCH2CCl*+PtCu111(*)=TS56=CH2CCl*+Cl*,0.001064815910832724,0.01039575627910487,0.0013524917575092946,0.000659140972902976,-0.009047568171343997,0.0008849273498011734,-0.009047568171343997,0.01039575627910487
ClCH2CCl*+PtCu111(*)=TS57=ClCH2C*+Cl*,-0.00037041446895589317,0.00018019540850479528,8.81801926137835e-05,-0.0006591885063308761,0.026140116900685587,0.00507577790530348,-0.0006591885063308761,0.026140116900685587
ClCH2C*+PtCu111(*)=TS58=CH2C*+Cl*,-0.0007407084631828264,-0.006797288729747905,0.0004411153540540615,0.00012599886647259164,0.009875636838159913,0.0005809507731511671,-0.006797288729747905,0.009875636838159913
ClCHCH*+PtCu111(*)=TS59=CHCH*+Cl*,0.0015277194957430409,0.004389046257282876,0.0001470326063409473,-0.0003586794468844396,-0.007901218748190468,-0.0004392199671416087,-0.007901218748190468,0.004389046257282876
CH2CCl*+PtCu111(*)=TS60=CH2C*+Cl*,0.0008333086526681602,-0.0007977663715108742,0.0010878513526092414,8.720084869839358e-05,-0.015081586973224948,-0.002774198498152005,-0.015081586973224948,0.0010878513526092414
ClCHCCl*+PtCu111(*)=TS61=CHCCl*+Cl*,0.0002778003908291996,-0.004356831502939451,0.0,0.00032956949934331424,0.009012098635431212,0.001052527404532855,-0.004356831502939451,0.009012098635431212
ClCHCCl*+PtCu111(*)=TS62=ClCHC*+Cl*,-0.0003240796703920471,0.0008445885357472645,0.001323096387948228,0.00033926345670006917,-0.01181270496166767,-0.0019259672503328309,-0.01181270496166767,0.001323096387948228
ClCHC*+PtCu111(*)=TS63=CHC*+Cl*,0.00037040976834976287,-0.0010145524217733798,0.0010878454720687374,0.0005428118301622346,-0.017018901223205103,-0.0032064773148795496,-0.017018901223205103,0.0010878454720687374
CHCCl*+PtCu111(*)=TS64=CHC*+Cl*,-0.0005091826513174494,0.0035529344538773973,-0.0008233167263697738,-1.940338870183575e-05,-0.01967681365177084,-0.0034951563928565,-0.01967681365177084,0.0035529344538773973
ClCCCl*+PtCu111(*)=TS65=ClCC*+Cl*,-4.629313266463596e-05,0.0014935087280630675,5.880540503898574e-09,-2.905175131812511e-05,0.006749632795969859,0.001633560504118134,-4.629313266463596e-05,0.006749632795969859
